transactionId,fileHeaderDate,accountNumber,transactionCode,batchLocation,batchNumber,updateDate,relatedFile,actionNarration,relatedFile2,doNotReport,explanation,minorAsset,owningPort,posterInitials,transactionAmount,cashEffect,cashPaid,brokerNumber,oldBalance,newBalance
TXN000016,20250331,ACC458748,78,PUN,454560,20250403,48098450.12,POST,N,Y,AUTO-GEN,22,55279,RS,4666.32,20402.5,0,45665,1999950.6799999995,2004616.9999999995
TXN000017,20250613,ACC457969,78,DEL,453566,20250614,42629236.56,POST,Y,Y,AUTO-GEN,41,55305,RS,-3036.04,33381.0,0,45120,2004616.9999999995,2001580.9599999995
TXN000018,20250718,ACC406709,10,MUM,457578,20250723,47842616.12,POST,Y,Y,AUTO-GEN,52,55481,RM,-2998.16,39178.3,0,45001,2001580.9599999995,1998582.7999999996
TXN000019,20251112,ACC709854,49,CHE,456932,20251114,48216272.71,POST,Y,N,AUTO-GEN,20,55516,RS,-1849.85,35322.1,1,45641,1998582.7999999996,1996732.9499999995
TXN000020,20250501,ACC797363,20,MUM,452769,20250503,47646353.75,ADJ,N,Y,AUTO-GEN,93,55752,RM,4974.7,15740.6,0,45637,1996732.9499999995,2001707.6499999994
TXN000021,20260201,ACC222781,49,CHE,455325,20260201,46838927.42,ADJ,N,N,AUTO-GEN,88,55937,RM,-4057.2,23582.8,0,45887,2001707.6499999994,1997650.4499999995
TXN000022,20260312,ACC586936,10,MUM,452848,20260313,41000042.75,ADJ,Y,N,AUTO-GEN,47,55890,RS,2360.9,31083.6,0,45892,1997650.4499999995,2000011.3499999994
TXN000023,20250926,ACC278163,49,MUM,453646,20250930,48358425.03,POST,Y,Y,AUTO-GEN,57,55735,RM,3619.04,24722.1,1,45705,2000011.3499999994,2003630.3899999994
TXN000024,20260202,ACC868357,78,DEL,453672,20260205,41366688.95,POST,Y,N,AUTO-GEN,50,55921,RM,2394.08,7760.6,0,45250,2003630.3899999994,2006024.4699999995
TXN000025,20250528,ACC209092,10,MUM,458801,20250602,48081910.41,ADJ,Y,Y,AUTO-GEN,68,55009,RS,4191.28,25281.3,0,45083,2006024.4699999995,2010215.7499999995
TXN000026,20250421,ACC371298,13,PUN,451709,20250422,49378372.45,ADJ,N,N,AUTO-GEN,15,55702,RS,2872.67,18568.6,0,45705,2010215.7499999995,2013088.4199999995
TXN000027,20250629,ACC748659,13,HYD,457703,20250704,41548244.57,ADJ,N,Y,AUTO-GEN,37,55298,RM,692.14,15384.9,0,45093,2013088.4199999995,2013780.5599999994
TXN000028,20250722,ACC826216,20,CHE,459476,20250725,48904831.47,ADJ,Y,Y,AUTO-GEN,65,55530,RM,186.75,28040.2,0,45144,2013780.5599999994,2013967.3099999994
TXN000029,20251031,ACC700617,19,DEL,450255,20251105,48831484.9,ADJ,Y,Y,AUTO-GEN,95,55324,RS,3615.79,3161.9,0,45002,2013967.3099999994,2017583.0999999994
TXN000030,20251105,ACC877800,78,MUM,456851,20251106,42135364.28,POST,N,N,AUTO-GEN,91,55545,RM,-1970.82,11750.3,0,45154,2017583.0999999994,2015612.2799999993
TXN000031,20250628,ACC634730,10,CHE,459256,20250630,41650035.06,POST,N,Y,AUTO-GEN,69,55427,RM,3895.34,36893.5,1,45914,2015612.2799999993,2019507.6199999994
TXN000032,20260228,ACC138160,10,PUN,458838,20260303,41388845.84,POST,N,N,AUTO-GEN,79,55279,RM,2822.51,24265.7,0,45400,2019507.6199999994,2022330.1299999994
TXN000033,20250712,ACC430701,49,CHE,451411,20250717,44776400.17,ADJ,Y,N,AUTO-GEN,77,55396,RS,-4656.71,17511.7,0,45132,2022330.1299999994,2017673.4199999995
TXN000034,20251102,ACC215278,49,DEL,450665,20251102,42196959.36,ADJ,N,N,AUTO-GEN,66,55100,RM,1555.28,7864.6,0,45428,2017673.4199999995,2019228.6999999995
TXN000035,20260307,ACC720668,13,CHE,452098,20260311,49300132.04,POST,N,N,AUTO-GEN,36,55132,RM,-1578.89,1718.1,1,45336,2019228.6999999995,2017649.8099999996
TXN000036,20251228,ACC780703,10,MUM,453800,20260101,40672211.62,ADJ,N,Y,AUTO-GEN,76,55887,RS,4088.96,5975.3,0,45777,2017649.8099999996,2021738.7699999996
TXN000037,20260119,ACC458012,19,DEL,452046,20260119,45938133.43,POST,Y,Y,AUTO-GEN,59,55025,RM,-4798.15,5887.2,0,45472,2021738.7699999996,2016940.6199999996
TXN000038,20251230,ACC372277,19,HYD,454195,20251231,44893644.87,POST,Y,N,AUTO-GEN,77,55290,RS,3862.08,18192.1,0,45230,2016940.6199999996,2020802.6999999997
TXN000039,20250519,ACC382514,49,DEL,457626,20250520,42707732.33,POST,Y,Y,AUTO-GEN,22,55047,RS,-2016.67,30145.8,0,45899,2020802.6999999997,2018786.0299999998
TXN000040,20260305,ACC385407,10,DEL,450220,20260310,43933197.71,POST,N,Y,AUTO-GEN,81,55436,RM,1765.38,26053.0,0,45570,2018786.0299999998,2020551.4099999997
TXN000041,20250904,ACC717992,49,CHE,452278,20250909,47874193.07,POST,N,Y,AUTO-GEN,31,55923,RM,71.29,1935.2,0,45967,2020551.4099999997,2020622.6999999997
TXN000042,20250901,ACC200851,78,DEL,453583,20250902,48327105.27,ADJ,N,Y,AUTO-GEN,43,55264,RM,-4997.43,12500.4,0,45798,2020622.6999999997,2015625.2699999998
TXN000043,20260211,ACC310628,10,HYD,456739,20260215,40135677.43,POST,Y,N,AUTO-GEN,50,55875,RS,2758.95,15317.0,1,45801,2015625.2699999998,2018384.2199999997
TXN000044,20251021,ACC950444,13,PUN,454565,20251024,48808805.45,POST,Y,N,AUTO-GEN,72,55694,RM,-3887.28,1001.5,0,45486,2018384.2199999997,2014496.9399999997
TXN000045,20250622,ACC306973,19,MUM,458977,20250625,47546186.11,ADJ,Y,Y,AUTO-GEN,47,55495,RM,-121.17,14163.6,0,45155,2014496.9399999997,2014375.7699999998
TXN000046,20260218,ACC223918,10,MUM,459180,20260219,44249802.62,POST,Y,Y,AUTO-GEN,87,55498,RM,4256.93,29936.2,0,45560,2014375.7699999998,2018632.6999999997
TXN000047,20250530,ACC392897,10,PUN,457892,20250602,48311650.8,ADJ,Y,Y,AUTO-GEN,18,55467,RM,-4886.68,19967.8,0,45984,2018632.6999999997,2013746.0199999998
TXN000048,20251124,ACC529040,13,DEL,450550,20251124,40324890.04,POST,Y,N,AUTO-GEN,70,55272,RS,-1.91,2735.0,1,45460,2013746.0199999998,2013744.1099999999
TXN000049,20250415,ACC691802,49,CHE,458126,20250417,40321390.79,POST,N,Y,AUTO-GEN,56,55553,RS,799.67,36245.8,1,45447,2013744.1099999999,2014543.7799999998
TXN000050,20250816,ACC519841,49,CHE,455866,20250821,46739689.14,ADJ,Y,Y,AUTO-GEN,82,55689,RS,-1502.34,29183.6,0,45596,2014543.7799999998,2013041.4399999997
TXN000051,20250331,ACC365123,49,MUM,456949,20250331,41944240.71,POST,Y,N,AUTO-GEN,33,55357,RS,-1633.01,3187.8,0,45523,2013041.4399999997,2011408.4299999997
TXN000052,20250810,ACC949880,13,PUN,455550,20250815,49566501.27,POST,Y,Y,AUTO-GEN,69,55872,RS,-2192.77,10455.2,0,45644,2011408.4299999997,2009215.6599999997
TXN000053,20260227,ACC607299,13,PUN,451782,20260228,43898733.76,ADJ,N,Y,AUTO-GEN,92,55439,RM,-2715.77,6873.9,0,45715,2009215.6599999997,2006499.8899999997
TXN000054,20251103,ACC628452,19,HYD,458308,20251105,42634611.86,ADJ,Y,N,AUTO-GEN,78,55585,RS,3022.18,18730.8,0,45664,2006499.8899999997,2009522.0699999996
TXN000055,20251012,ACC745746,20,PUN,455473,20251017,46879137.49,ADJ,Y,N,AUTO-GEN,76,55548,RS,263.16,15255.4,0,45869,2009522.0699999996,2009785.2299999995
TXN000056,20251223,ACC559017,10,DEL,452235,20251225,47824677.7,POST,N,N,AUTO-GEN,92,55877,RM,-1703.03,12888.8,0,45829,2009785.2299999995,2008082.1999999995
TXN000057,20250409,ACC529011,13,CHE,455635,20250413,40792877.19,POST,Y,N,AUTO-GEN,58,55950,RM,-433.8,18697.6,0,45374,2008082.1999999995,2007648.3999999994
TXN000058,20250703,ACC171410,10,CHE,458661,20250705,48945381.43,POST,N,N,AUTO-GEN,89,55450,RS,1037.58,21094.8,0,45295,2007648.3999999994,2008685.9799999995
TXN000059,20260306,ACC910451,10,DEL,458954,20260307,49396820.97,POST,Y,N,AUTO-GEN,87,55284,RS,1056.69,19976.7,0,45442,2008685.9799999995,2009742.6699999995
TXN000060,20250511,ACC248072,10,HYD,458470,20250511,49440852.74,POST,N,N,AUTO-GEN,77,55830,RS,156.11,38937.4,0,45699,2009742.6699999995,2009898.7799999996
TXN000061,20250920,ACC608817,10,CHE,455910,20250921,41569715.35,POST,Y,N,AUTO-GEN,23,55051,RS,2628.81,35545.5,0,45206,2009898.7799999996,2012527.5899999996
TXN000062,20251226,ACC877871,13,HYD,456935,20251227,49611104.38,ADJ,Y,N,AUTO-GEN,12,55974,RM,667.5,35585.7,0,45681,2012527.5899999996,2013195.0899999996
TXN000063,20260315,ACC473055,78,DEL,452489,20260316,46144995.64,ADJ,Y,N,AUTO-GEN,69,55663,RM,4502.92,29830.2,0,45877,2013195.0899999996,2017698.0099999995
TXN000064,20260214,ACC466276,13,HYD,458973,20260216,48726869.01,POST,Y,Y,AUTO-GEN,53,55524,RS,-1478.97,6702.7,0,45328,2017698.0099999995,2016219.0399999996
TXN000065,20250417,ACC657444,13,DEL,459531,20250420,47157820.12,ADJ,N,N,AUTO-GEN,26,55597,RS,-549.49,8402.7,0,45703,2016219.0399999996,2015669.5499999996
TXN000066,20251012,ACC847666,13,MUM,458237,20251016,40684560.34,POST,N,N,AUTO-GEN,55,55167,RM,-3136.96,18670.8,1,45489,2015669.5499999996,2012532.5899999996
TXN000067,20250903,ACC413757,49,MUM,457578,20250903,45618570.47,ADJ,N,Y,AUTO-GEN,83,55835,RM,1617.8,25998.9,0,45925,2012532.5899999996,2014150.3899999997
TXN000068,20251018,ACC789223,10,MUM,454477,20251020,41703786.27,POST,Y,Y,AUTO-GEN,62,55827,RM,-863.46,6858.9,0,45744,2014150.3899999997,2013286.9299999997
TXN000069,20250331,ACC591590,19,CHE,457167,20250404,46199513.25,POST,Y,N,AUTO-GEN,14,55169,RS,-3472.73,15507.7,1,45491,2013286.9299999997,2009814.1999999997
TXN000070,20251111,ACC721011,10,CHE,454286,20251112,47708213.43,POST,Y,Y,AUTO-GEN,25,55527,RM,4786.65,13456.3,0,45949,2009814.1999999997,2014600.8499999996
TXN000071,20260117,ACC576940,49,CHE,453281,20260121,46061813.84,POST,N,N,AUTO-GEN,86,55810,RS,2308.83,8113.4,1,45334,2014600.8499999996,2016909.6799999997
TXN000072,20251124,ACC518930,49,HYD,450230,20251124,46012541.79,ADJ,N,N,AUTO-GEN,36,55019,RS,-1287.39,28351.8,0,45085,2016909.6799999997,2015622.2899999998
TXN000073,20260125,ACC404317,49,PUN,455769,20260127,48952840.81,POST,Y,Y,AUTO-GEN,97,55290,RS,-4727.09,19155.5,0,45863,2015622.2899999998,2010895.1999999997
TXN000074,20260324,ACC545563,13,HYD,452813,20260325,44533892.1,ADJ,N,N,AUTO-GEN,79,55838,RM,-4820.88,38002.2,0,45359,2010895.1999999997,2006074.3199999998
TXN000075,20250814,ACC941855,10,HYD,459058,20250819,43530275.85,POST,N,Y,AUTO-GEN,92,55249,RS,-3398.35,3177.4,0,45640,2006074.3199999998,2002675.9699999997
TXN000076,20251123,ACC478034,78,DEL,458543,20251124,47322571.36,ADJ,N,N,AUTO-GEN,38,55681,RS,4864.78,18512.1,1,45646,2002675.9699999997,2007540.7499999998
TXN000077,20250627,ACC815241,78,PUN,455068,20250702,42150723.46,ADJ,Y,N,AUTO-GEN,51,55672,RS,2553.16,23934.3,0,45673,2007540.7499999998,2010093.9099999997
TXN000078,20260222,ACC483852,20,HYD,453673,20260223,44895761.61,ADJ,N,Y,AUTO-GEN,48,55059,RS,2658.38,5193.6,0,45826,2010093.9099999997,2012752.2899999996
TXN000079,20251022,ACC561770,10,HYD,451474,20251024,49224041.26,POST,Y,N,AUTO-GEN,55,55454,RS,3939.22,9406.4,0,45723,2012752.2899999996,2016691.5099999995
TXN000080,20250712,ACC737308,20,MUM,459547,20250712,48394450.12,ADJ,Y,N,AUTO-GEN,100,55216,RM,108.14,19177.5,0,45496,2016691.5099999995,2016799.6499999994
TXN000081,20260324,ACC387681,78,CHE,458933,20260325,41802725.42,ADJ,N,N,AUTO-GEN,70,55500,RM,4189.83,1165.2,0,45034,2016799.6499999994,2020989.4799999995
TXN000082,20250704,ACC632110,78,CHE,454190,20250706,43246992.61,POST,Y,N,AUTO-GEN,71,55692,RM,3874.95,26454.7,1,45277,2020989.4799999995,2024864.4299999995
TXN000083,20260303,ACC929363,49,CHE,450911,20260303,40207693.58,POST,N,Y,AUTO-GEN,42,55952,RS,864.88,39482.7,0,45510,2024864.4299999995,2025729.3099999994
TXN000084,20250919,ACC752180,78,DEL,455157,20250923,47406560.93,POST,N,Y,AUTO-GEN,88,55814,RS,-2992.31,24481.3,1,45202,2025729.3099999994,2022736.9999999993
TXN000085,20260124,ACC283469,49,DEL,455158,20260128,47429280.44,ADJ,Y,N,AUTO-GEN,26,55315,RM,3594.95,21401.3,0,45483,2022736.9999999993,2026331.9499999993
TXN000086,20250510,ACC191793,49,HYD,458606,20250515,40651745.43,ADJ,N,N,AUTO-GEN,63,55617,RM,1912.3,34152.6,0,45345,2026331.9499999993,2028244.2499999993
TXN000087,20250720,ACC828102,20,HYD,453666,20250723,45004994.37,ADJ,N,N,AUTO-GEN,11,55208,RS,2842.51,37894.9,1,45301,2028244.2499999993,2031086.7599999993
TXN000088,20260115,ACC181533,13,DEL,453165,20260115,46627792.62,POST,N,Y,AUTO-GEN,35,55466,RS,2198.43,28352.1,0,45718,2031086.7599999993,2033285.1899999992
TXN000089,20260214,ACC992797,49,CHE,459963,20260215,48556247.98,POST,N,Y,AUTO-GEN,41,55460,RM,-2546.5,37474.5,0,45816,2033285.1899999992,2030738.6899999992
TXN000090,20251115,ACC811839,10,CHE,456030,20251116,46865483.85,POST,Y,Y,AUTO-GEN,17,55036,RM,1686.75,8530.2,0,45843,2030738.6899999992,2032425.4399999992
TXN000091,20250804,ACC458188,20,DEL,454223,20250807,44068078.82,POST,N,Y,AUTO-GEN,36,55303,RM,536.91,26204.1,0,45597,2032425.4399999992,2032962.3499999992
TXN000092,20250920,ACC800362,10,MUM,457593,20250924,47733515.22,POST,N,N,AUTO-GEN,15,55641,RM,-2385.41,1426.2,0,45812,2032962.3499999992,2030576.9399999992
TXN000093,20260104,ACC603832,78,HYD,459051,20260107,47356108.25,ADJ,Y,N,AUTO-GEN,44,55315,RS,4561.07,39578.3,0,45874,2030576.9399999992,2035138.0099999993
TXN000094,20251021,ACC628512,49,CHE,453585,20251023,42814346.61,POST,N,N,AUTO-GEN,36,55783,RM,-3042.47,34935.1,0,45161,2035138.0099999993,2032095.5399999993
TXN000095,20250912,ACC171724,78,MUM,458723,20250914,48733257.97,ADJ,Y,Y,AUTO-GEN,22,55412,RS,1943.1,13784.5,0,45022,2032095.5399999993,2034038.6399999994
TXN000096,20251127,ACC204348,10,DEL,454930,20251201,41839494.61,ADJ,Y,Y,AUTO-GEN,93,55707,RS,3760.5,20559.7,0,45259,2034038.6399999994,2037799.1399999994
TXN000097,20250428,ACC516154,78,PUN,452748,20250428,49577585.3,POST,N,Y,AUTO-GEN,87,55395,RM,2383.16,30597.6,0,45786,2037799.1399999994,2040182.2999999993
TXN000098,20251110,ACC365697,13,MUM,451026,20251115,40228218.24,ADJ,N,N,AUTO-GEN,93,55670,RM,4391.56,17178.8,0,45257,2040182.2999999993,2044573.8599999994
TXN000099,20250622,ACC169529,20,HYD,459908,20250624,43279548.43,POST,N,Y,AUTO-GEN,17,55206,RS,1419.22,32591.3,0,45941,2044573.8599999994,2045993.0799999994
TXN000100,20250720,ACC833705,78,PUN,458193,20250725,46709897.54,ADJ,N,Y,AUTO-GEN,57,55081,RM,4772.11,39017.9,0,45682,2045993.0799999994,2050765.1899999995
TXN000101,20251115,ACC319763,13,DEL,451856,20251116,48711619.17,ADJ,N,N,AUTO-GEN,66,55950,RS,155.88,26076.9,0,45210,2050765.1899999995,2050921.0699999994
TXN000102,20250704,ACC284517,10,DEL,452321,20250707,49322356.16,ADJ,Y,Y,AUTO-GEN,86,55619,RM,2538.42,34839.2,0,45619,2050921.0699999994,2053459.4899999993
TXN000103,20251031,ACC995362,13,HYD,455652,20251031,48205159.63,ADJ,Y,N,AUTO-GEN,32,55320,RM,833.4,32022.7,0,45749,2053459.4899999993,2054292.8899999992
TXN000104,20251213,ACC789261,19,HYD,457834,20251217,43073975.6,POST,N,N,AUTO-GEN,54,55015,RM,-1412.06,37811.2,0,45496,2054292.8899999992,2052880.8299999991
TXN000105,20251004,ACC654253,78,MUM,457924,20251009,45040625.59,ADJ,Y,N,AUTO-GEN,67,55848,RS,640.39,37448.9,1,45773,2052880.8299999991,2053521.219999999
TXN000106,20250719,ACC721610,10,HYD,459789,20250719,46371008.66,ADJ,N,N,AUTO-GEN,44,55123,RS,-1008.75,4237.2,1,45445,2053521.219999999,2052512.469999999
TXN000107,20260304,ACC573523,20,HYD,452153,20260307,46949244.65,POST,Y,N,AUTO-GEN,95,55147,RM,-3295.83,1523.6,0,45022,2052512.469999999,2049216.639999999
TXN000108,20260218,ACC424852,19,CHE,450571,20260220,45166775.87,POST,N,N,AUTO-GEN,57,55755,RM,2925.88,4013.0,0,45010,2049216.639999999,2052142.5199999989
TXN000109,20251008,ACC632597,49,MUM,453433,20251008,46689839.06,POST,N,Y,AUTO-GEN,70,55416,RM,3480.45,29919.1,0,45285,2052142.5199999989,2055622.9699999988
TXN000110,20250803,ACC486704,10,MUM,456222,20250808,48666624.59,POST,Y,Y,AUTO-GEN,79,55333,RS,-1383.53,14827.1,0,45081,2055622.9699999988,2054239.4399999988
TXN000111,20250927,ACC794661,10,HYD,458854,20250929,42474223.58,ADJ,N,Y,AUTO-GEN,38,55109,RS,-3263.89,16438.6,1,45950,2054239.4399999988,2050975.5499999989
TXN000112,20260216,ACC319166,49,HYD,458592,20260217,44487449.72,POST,Y,Y,AUTO-GEN,100,55658,RS,4298.86,29944.1,1,45099,2050975.5499999989,2055274.409999999
TXN000113,20250906,ACC203983,20,HYD,456859,20250908,46027166.07,POST,N,Y,AUTO-GEN,24,55319,RS,4969.69,8099.1,0,45493,2055274.409999999,2060244.099999999
TXN000114,20250529,ACC669979,20,CHE,452528,20250530,41611775.75,POST,N,Y,AUTO-GEN,74,55843,RM,1764.13,9920.4,0,45624,2060244.099999999,2062008.2299999988
TXN000115,20250530,ACC521218,49,HYD,455310,20250603,40524623.63,ADJ,Y,N,AUTO-GEN,36,55710,RS,-4332.23,34735.9,0,45323,2062008.2299999988,2057675.9999999988
TXN000116,20250907,ACC130842,49,PUN,452619,20250907,49306781.12,ADJ,Y,Y,AUTO-GEN,20,55112,RM,2410.35,26996.2,0,45808,2057675.9999999988,2060086.349999999
TXN000117,20250923,ACC812566,20,PUN,455936,20250928,44796094.49,ADJ,N,N,AUTO-GEN,49,55542,RM,-2815.52,2332.1,0,45845,2060086.349999999,2057270.829999999
TXN000118,20250407,ACC309124,19,PUN,452423,20250412,45617027.89,POST,Y,N,AUTO-GEN,40,55313,RS,3781.63,18267.1,0,45333,2057270.829999999,2061052.4599999988
TXN000119,20250624,ACC721747,49,CHE,458621,20250628,43868600.35,ADJ,N,N,AUTO-GEN,68,55395,RM,2100.64,27457.3,1,45105,2061052.4599999988,2063153.0999999987
TXN000120,20251228,ACC703891,19,DEL,455958,20251230,44919968.03,POST,Y,N,AUTO-GEN,48,55281,RS,-2425.78,23292.1,0,45438,2063153.0999999987,2060727.3199999987
TXN000121,20250413,ACC140718,78,DEL,450098,20250414,49198923.67,POST,Y,Y,AUTO-GEN,37,55501,RS,4329.54,11776.0,1,45039,2060727.3199999987,2065056.8599999987
TXN000122,20250710,ACC572018,19,HYD,459976,20250714,44216998.57,ADJ,Y,N,AUTO-GEN,91,55430,RM,-3342.89,5380.8,0,45370,2065056.8599999987,2061713.9699999988
TXN000123,20250328,ACC220225,20,PUN,452228,20250328,45481202.58,ADJ,N,N,AUTO-GEN,42,55649,RS,686.3,33446.5,1,45524,2061713.9699999988,2062400.2699999989
TXN000124,20250408,ACC997468,19,CHE,458647,20250409,40239216.6,POST,N,N,AUTO-GEN,86,55213,RM,-2669.4,25899.9,1,45765,2062400.2699999989,2059730.869999999
TXN000125,20250615,ACC594987,20,MUM,452845,20250618,43778208.81,ADJ,N,N,AUTO-GEN,31,55166,RS,-2449.9,24570.6,0,45359,2059730.869999999,2057280.969999999
TXN000126,20251012,ACC732674,20,HYD,454147,20251016,41395900.84,ADJ,N,Y,AUTO-GEN,54,55485,RM,1121.78,27606.3,0,45779,2057280.969999999,2058402.749999999
TXN000127,20250527,ACC957279,78,MUM,458658,20250531,46849092.74,ADJ,Y,Y,AUTO-GEN,86,55665,RS,-2188.58,14857.5,1,45617,2058402.749999999,2056214.169999999
TXN000128,20251208,ACC304133,13,CHE,458706,20251209,40245119.32,ADJ,Y,Y,AUTO-GEN,32,55723,RS,3685.51,18534.5,0,45577,2056214.169999999,2059899.679999999
TXN000129,20260205,ACC413112,20,CHE,452941,20260206,45878923.09,POST,Y,N,AUTO-GEN,11,55660,RS,-2600.98,22188.5,0,45876,2059899.679999999,2057298.699999999
TXN000130,20250831,ACC431939,49,MUM,455309,20250905,40056649.81,ADJ,N,Y,AUTO-GEN,92,55547,RS,4210.33,39396.1,0,45619,2057298.699999999,2061509.029999999
TXN000131,20251216,ACC476171,20,CHE,451588,20251217,46837288.62,POST,Y,Y,AUTO-GEN,18,55871,RS,487.91,17689.5,0,45381,2061509.029999999,2061996.939999999
TXN000132,20260217,ACC399959,20,PUN,453393,20260220,46583627.0,POST,N,N,AUTO-GEN,34,55588,RM,-3237.42,16784.9,0,45583,2061996.939999999,2058759.519999999
TXN000133,20250730,ACC780762,20,PUN,455136,20250730,48490303.26,POST,N,Y,AUTO-GEN,26,55706,RS,-1322.25,28893.2,1,45389,2058759.519999999,2057437.269999999
TXN000134,20250919,ACC424035,20,PUN,450207,20250919,49164307.47,ADJ,N,N,AUTO-GEN,59,55430,RM,-4029.81,14663.5,0,45835,2057437.269999999,2053407.459999999
TXN000135,20250525,ACC778942,78,CHE,451153,20250525,42332007.44,ADJ,Y,N,AUTO-GEN,32,55620,RS,-942.1,21977.5,1,45375,2053407.459999999,2052465.359999999
TXN000136,20251119,ACC136643,10,CHE,450769,20251123,40027110.81,POST,N,N,AUTO-GEN,13,55073,RM,-1149.93,5736.4,0,45908,2052465.359999999,2051315.429999999
TXN000137,20251210,ACC637178,49,CHE,454869,20251214,40972273.39,POST,Y,Y,AUTO-GEN,34,55347,RM,-4947.53,6948.7,0,45430,2051315.429999999,2046367.899999999
TXN000138,20250406,ACC293810,10,CHE,459807,20250406,41038340.67,ADJ,N,Y,AUTO-GEN,32,55081,RM,4857.1,30918.8,1,45566,2046367.899999999,2051224.999999999
TXN000139,20250910,ACC104092,78,DEL,450636,20250910,41991994.87,POST,Y,Y,AUTO-GEN,15,55898,RS,491.12,15651.9,0,45818,2051224.999999999,2051716.1199999992
TXN000140,20250402,ACC758587,13,PUN,459276,20250407,49537820.26,ADJ,N,Y,AUTO-GEN,27,55812,RM,3427.2,5786.5,1,45506,2051716.1199999992,2055143.3199999991
TXN000141,20250711,ACC748267,20,MUM,456169,20250714,46883969.44,ADJ,N,N,AUTO-GEN,94,55115,RM,-1491.18,4377.8,0,45355,2055143.3199999991,2053652.1399999992
TXN000142,20260205,ACC898716,49,CHE,450186,20260207,47176170.8,ADJ,Y,N,AUTO-GEN,56,55246,RS,581.57,25290.3,1,45670,2053652.1399999992,2054233.7099999993
TXN000143,20250815,ACC285810,10,MUM,452556,20250816,49918018.42,POST,N,Y,AUTO-GEN,84,55144,RM,2563.73,24365.6,0,45950,2054233.7099999993,2056797.4399999992
TXN000144,20250718,ACC381085,49,CHE,456106,20250720,42642051.11,POST,N,N,AUTO-GEN,18,55214,RS,-4495.62,38098.2,1,45272,2056797.4399999992,2052301.8199999991
TXN000145,20250916,ACC417510,49,MUM,457705,20250917,43464355.57,ADJ,N,Y,AUTO-GEN,58,55691,RS,582.82,12332.2,1,45556,2052301.8199999991,2052884.6399999992
TXN000146,20250522,ACC412561,13,PUN,451773,20250527,47009948.89,POST,N,N,AUTO-GEN,93,55110,RM,-3060.69,11564.2,0,45734,2052884.6399999992,2049823.9499999993
