transactionId,fileHeaderDate,accountNumber,transactionType,batchLocation,batchNumber,updateBatchDate,relatedFileNumber,actionName,relatedFileKey,doNotReportFlag,explanation,minorAssetsClass,owningPortfolio,posterInitials,transactionSubtype,cashEffect,cashPaidOut,oldBalance,newBalance
tx653231943471782272,20260217,3.91E+11,16,YVQ,320325,20250812,583934,VLCQ,64272929,Y,AUTO-GEN-FTU82ZVD,20,933065,SJ,55,-216317.04,131204.66,1572114.68,1556586.11
tx313429104315128483,20250612,9.93E+11,79,NEU,248756,20251117,319279,EKDH,99585223,N,AUTO-GEN-PR2UY79D,86,546571,KK,84,693309.99,-619810.01,4322467.96,4298770.85
tx736536000418429218,20250806,5.84E+11,12,UPH,890964,20251106,482530,JDXQ,44722407,Y,AUTO-GEN-9W3P2MS8,56,270246,TL,30,247301.54,705216.54,3812320.53,3854359.31
tx003148666599763819,20251001,9.02E+11,23,PHL,865812,20251013,322425,AIUP,81430783,Y,AUTO-GEN-S1CHXLF4,32,292916,QZ,34,666906.99,823544.83,696536.99,677895.18
tx635268979815757166,20250515,6.00E+11,52,IEH,446787,20250730,695074,WHXC,56586065,N,AUTO-GEN-4R6LZOTC,62,698551,VK,28,-625760.89,-744107.38,3822499.38,3860248.93
tx289790566749134761,20251211,2.83E+11,25,WAD,717403,20260222,330984,LSIT,67494218,Y,AUTO-GEN-6W7HF1TG,42,690468,DS,30,488934.79,-144746.15,3850087.12,3853444.44
tx178058488419744067,20260105,3.41E+11,53,OVZ,150001,20251009,326187,IHQZ,53197978,Y,AUTO-GEN-CCD9T9SG,15,452499,WW,50,108862.73,962112.3,3862636.74,3862175.35
tx794822290450426957,20251015,9.73E+11,33,ENN,762704,20251209,903141,MHST,92423642,N,AUTO-GEN-7Q2GWE9J,49,794334,IR,28,-908145.24,-401169.32,1787636.69,1764516.62
tx936878119815945683,20250412,9.76E+11,38,JOB,221042,20250721,786828,XDQI,91764810,Y,AUTO-GEN-SSX9B1KA,80,770032,DJ,69,-400079.95,673802.24,2686965.49,2677088.66
tx546026349649660193,20250610,2.48E+11,87,CZO,249236,20250826,727745,GYNB,11530199,N,AUTO-GEN-4AS1YMRP,67,457559,WZ,59,-452779.15,750205.17,1644921.28,1686558.92
tx347973314449808762,20260102,1.28E+11,70,MQB,718390,20250905,652802,VYUC,94046516,N,AUTO-GEN-7UUN1XNW,13,528119,VG,46,448028.85,726028.44,1201016.56,1183087.34
tx810236562235662608,20250531,3.40E+11,68,BVK,382861,20250502,580975,FFGM,60648850,N,AUTO-GEN-UPKXLXBO,78,576547,QU,99,196629.86,-448358.74,1525676.96,1567639.97
tx141570237713232898,20250424,4.07E+11,43,IDM,826390,20250712,728163,LFDR,58684505,Y,AUTO-GEN-9VDVBPFZ,60,824619,EY,36,877669.44,968881.66,3511591.09,3485672.75
tx712558549695826987,20260215,4.88E+11,69,MUB,526649,20260303,841258,RFRI,34760234,N,AUTO-GEN-SGTLGYHT,81,374552,CE,19,70352.45,238812.26,3654595.31,3690570.75
tx524895879543784025,20250918,3.37E+11,39,QCU,141497,20260302,250950,NWUX,29925163,N,AUTO-GEN-TNTAKLGR,66,938930,PF,37,694791.76,566988.52,1481566.53,1466609.85
tx568491232970685398,20250621,6.70E+11,52,RCN,861190,20251006,753780,XZYL,71849097,N,AUTO-GEN-USB4YMFZ,78,851900,UV,48,-91342.5,-467199.04,897928.29,878304.44
tx561658376442628345,20250324,6.93E+11,87,PUV,693142,20250508,871556,XSQN,33499656,N,AUTO-GEN-U10P0Y88,78,783853,DV,43,284851.77,-984787.01,2213284.41,2256123.33
tx887699657451974900,20260216,8.43E+11,23,SCZ,776322,20260214,297828,BTVP,78935449,Y,AUTO-GEN-TEDO1V5E,78,300103,XY,29,394710.6,-653711.2,974786.43,1021153.56
tx082430509651598941,20251010,6.89E+11,65,CBD,576639,20250621,972538,BZUT,40544665,N,AUTO-GEN-M9HLI6M0,55,785976,TE,82,-810837.91,-693965.52,2755626.14,2727921.96
tx963081942525261205,20251028,7.76E+11,76,QHQ,184652,20260127,901038,EZIB,30159535,Y,AUTO-GEN-8MQK3KCZ,29,308773,NN,39,588774.39,875501.44,3816889.86,3788563.22
tx739738236213521051,20251106,9.21E+11,38,UTB,431431,20251009,704837,CLXN,78107120,Y,AUTO-GEN-B280PVOK,93,202086,FD,79,-500676.15,-315906.93,1118526.35,1080310.82
tx521778035125597233,20250504,7.71E+11,80,UZD,154587,20250720,947932,VBOE,51388211,N,AUTO-GEN-PW9TNTQU,75,701922,DP,17,868599.62,-429179.2,1126974.88,1077039.68
tx154605684703360176,20251217,2.84E+11,42,PSA,114128,20251117,334746,XDPZ,65639866,N,AUTO-GEN-C0OXBDDV,95,886327,ZZ,64,214190.63,-439365.61,2293975.22,2294708.55
tx355476836693708542,20251031,3.73E+11,55,UQC,687516,20250905,873627,ENCU,44776507,N,AUTO-GEN-9ZJRVYG4,41,412761,UO,47,-232040.28,-721666.17,4234482.87,4191680.18
tx327666795429606373,20251228,3.87E+11,61,OYK,576999,20250725,771698,KJMJ,62583609,N,AUTO-GEN-SDLZR7HT,68,961349,AF,47,922443.75,-596212.78,619136.24,655582.42
tx124060954444896435,20250423,3.02E+11,70,XIA,159012,20250814,154064,WIPR,66919599,Y,AUTO-GEN-1YZKL5O0,92,678991,VV,21,227830.51,921196.41,2285982.79,2280486.07
tx437866339556056434,20250326,4.18E+11,24,YBO,466253,20251124,472163,UGXX,20809812,N,AUTO-GEN-IRGVQ8ON,82,262272,YT,88,-563787.28,900931.14,2619039.72,2595493.81
tx639543567954982951,20250420,9.17E+11,91,XLI,979898,20251024,361114,KERB,10672752,N,AUTO-GEN-YL9R6NFQ,99,171157,XB,70,234444.5,-572117.24,3905761.2,3954662.53
tx061238354022098529,20250528,3.18E+11,25,QTR,803145,20260204,381905,DPGU,14613697,N,AUTO-GEN-W1FT6HYX,22,895519,PV,15,628114.2,-618931.29,761247.89,806804.51
tx099011141717602790,20250526,6.77E+11,51,OXW,727693,20260226,996300,KDLW,58618961,N,AUTO-GEN-J86HHT91,52,992909,AB,63,192072.94,-207180.21,4275634.09,4272653.95
tx589668871601979669,20250927,7.91E+11,71,BMK,958222,20251223,835141,FJLV,75494819,N,AUTO-GEN-KEC06MRX,86,553613,LH,22,-684189.07,-95515.48,361792.33,368547.37
tx492249555416947756,20250529,5.88E+11,13,ZNV,655386,20251015,810363,OKFA,17241489,N,AUTO-GEN-04DAEDPF,73,999561,BS,93,-517766.36,35889.48,174984.39,158243.28
tx379699235121535757,20260106,4.62E+11,13,WZW,365796,20250822,944768,KNPX,68515996,N,AUTO-GEN-RYOQQIEJ,70,707238,CN,11,-250452.06,512316.96,2038347.7,2037023.95
tx710906666887817142,20251004,1.33E+11,76,JFQ,590587,20250904,465963,OQCX,42265576,Y,AUTO-GEN-KBPJSF1A,83,288272,QQ,93,-469615.41,430418.09,4925842.73,4915604.69
tx534790584321967000,20260214,4.80E+11,21,SWR,135385,20250509,407925,UTAW,58035929,N,AUTO-GEN-2SBWAJHU,54,678372,VD,89,-213112.38,835814.14,3113971.75,3160886.93
tx768879141677450258,20260111,9.91E+11,24,OXS,842853,20250703,901467,BQRA,11938918,Y,AUTO-GEN-OVK7XQ99,21,830738,OD,10,-422841.66,746692.34,892481.1,913638.09
tx627210203174133874,20250819,6.28E+11,92,TVK,612042,20260130,984358,PGOQ,59308499,N,AUTO-GEN-CUXP5D8R,47,929206,MI,80,-411295.47,842439.15,4134629.11,4113254.4
tx192894206824529077,20260108,2.79E+11,30,IVG,887754,20251006,178194,RKHX,99062720,Y,AUTO-GEN-4TRFOVT3,12,769903,RN,25,-880155.64,568714.94,2342130.7,2339969.96
tx492802360665451986,20250423,9.36E+11,48,WYC,352252,20250702,573784,EKXM,19667530,N,AUTO-GEN-BLGPBQ9J,33,403164,GW,92,777984.59,-867465.17,3989433.18,3964136.72
tx962036818188777440,20250927,8.56E+11,15,GMX,285710,20250409,759925,LJJT,87804215,Y,AUTO-GEN-5VF8KVTH,49,155112,ST,68,-776651.96,612822.55,3985448.59,4009258.15
tx193127525614601063,20250412,4.68E+11,77,DDB,711926,20250717,904887,KJTH,66593404,N,AUTO-GEN-7OWXOWLN,96,407863,ZU,11,877202.2,-565024.02,2356908.86,2307282.44
tx499373431294161742,20250529,2.37E+11,11,VZE,785379,20250520,801020,ZEXC,77249551,Y,AUTO-GEN-1K1XEJA4,66,667119,SJ,59,998813.07,455752.32,1505043.11,1478800.27
tx971520075559487833,20251111,3.39E+11,10,KHT,612645,20251218,916368,GAOX,55546368,Y,AUTO-GEN-XDEMJLKE,28,707619,EW,44,553905.8,45301.72,374178.39,413408.3
tx086087053723375027,20251020,9.38E+11,83,QLA,838898,20260120,897701,OYKP,77836916,Y,AUTO-GEN-GN17Z9CB,66,702938,QF,43,111116.44,-22005.93,2340067.66,2340245.63
tx889894724569127491,20251114,5.95E+11,88,JWO,229668,20250603,456074,THCE,49516188,N,AUTO-GEN-M10U3K6G,94,525679,UQ,37,226148.21,268213.34,2397075.2,2370687.72
tx092616851252203206,20250723,5.43E+11,87,WBY,936009,20250625,103574,OKYQ,29080060,Y,AUTO-GEN-TYORFH9H,15,341673,UQ,30,210119.84,946989.6,448620.26,489819.02
tx678825523304311639,20250313,9.70E+11,65,XTA,632748,20260126,610075,WFBU,83236081,Y,AUTO-GEN-R3GV9V1B,20,319702,NF,62,258371.8,954894.06,1523829.17,1482250.14
tx370665779618325383,20250930,1.48E+11,38,UTJ,416440,20251209,792295,XFYX,96015309,Y,AUTO-GEN-AXCT65F1,46,879225,RX,96,407706.87,-348160.5,2196827.07,2246439.86
tx323714363487207244,20260115,4.55E+11,86,UHZ,552389,20250414,291158,XXAU,17796989,Y,AUTO-GEN-6AS06EL9,90,560780,XP,50,-30579.84,207645.65,2872401.72,2860972.83
tx230412144654563561,20251227,7.30E+11,52,BGD,370760,20250819,335037,FRTY,92146045,N,AUTO-GEN-SRFW00PK,68,817577,YU,57,-725293,519855.45,3664909.23,3634008.16
tx591270065891845882,20260112,1.86E+11,98,QQI,441440,20250316,721311,GQJY,40744563,N,AUTO-GEN-WA1Q1VOL,90,945550,YG,73,-319000.35,-478448.93,2096153.61,2098397.38
tx623934878330841700,20251031,5.46E+11,56,DYI,104079,20250605,796424,UQWY,45772496,N,AUTO-GEN-Z2XJ1NEB,93,395460,WI,74,839665.43,-26092.04,1993589.16,1972803.41
tx306606472552951055,20251218,7.32E+11,27,HND,415716,20250618,516356,DFUR,39093026,Y,AUTO-GEN-VY7505LV,50,760508,XM,11,-96924.22,152157.78,148754.71,160020.43
tx722136212273642642,20250713,4.00E+11,18,DEJ,294904,20260126,450799,POJB,60277742,N,AUTO-GEN-6OLT9G14,37,116995,BJ,57,-400936.19,708001.99,2945944.63,2945999.15
tx658834258708822980,20250312,2.71E+11,81,ORY,459240,20250601,991897,WGOS,98638654,N,AUTO-GEN-H5FOTZ88,34,684115,KF,94,-552239.52,-706799.81,938724.78,960376.54
tx584487382474863736,20250316,8.35E+11,65,UFY,878903,20250627,544858,HBYY,39710604,Y,AUTO-GEN-4TE7RRIG,44,535874,ZB,54,241646.08,-854752.99,2870016.54,2899563.37
tx044466165059654055,20251008,9.32E+11,76,ICU,943586,20251206,571006,GPTV,73533068,Y,AUTO-GEN-ZXH03422,86,685260,PJ,94,-123378.34,-723551.46,3650752.84,3664319.39
tx344856756606267245,20251210,6.33E+11,56,JKN,625020,20250320,713842,LUVI,51261972,Y,AUTO-GEN-OAR09UB0,94,944060,YT,71,-673030.23,777769.89,4388265.25,4367240.51
tx117674566461618812,20251112,8.05E+11,79,MJT,910546,20250327,841629,WBNB,17151056,N,AUTO-GEN-68STMBBZ,25,383414,BL,38,-822437.97,514677.51,3035701,3046255.28
tx043726975637378372,20250617,9.43E+11,34,GLE,939912,20250531,231351,MWZU,32274925,Y,AUTO-GEN-TPMF7BXA,59,955181,ZQ,63,821959.93,951097.82,3463050.1,3435600.31
tx045677171339502462,20251113,7.95E+11,85,WKO,684613,20250329,311444,TTUE,25536007,N,AUTO-GEN-OAKWWJGZ,20,967889,IS,16,-438871.25,850413.45,702989.29,662169.2
tx948681298239465256,20251129,4.80E+11,40,MGP,372526,20250404,970985,SCDF,99693941,Y,AUTO-GEN-W56WY062,65,709660,JQ,91,870207.33,-821096.08,2608352.05,2638719.72
tx246646963669250736,20260202,6.37E+11,99,MYQ,907565,20260301,314896,FKLA,70663301,Y,AUTO-GEN-7SDONI1J,96,113900,JG,16,143753.18,487169.72,4971693.63,4967221.08
tx629471615566603980,20260111,9.27E+11,35,LNX,921738,20250731,301116,VFXP,55625428,Y,AUTO-GEN-NC1VYJLR,70,767222,IJ,54,122982.2,-140442.98,2020594.24,2000745.32
tx290847858255012896,20250920,2.09E+11,51,OYG,641557,20260214,151484,TTFK,58396544,Y,AUTO-GEN-1V4M2QUC,12,889863,LE,15,-172376.9,-985094.61,4081733.92,4046142.5
tx804687568906218281,20250628,5.65E+11,23,LCM,679932,20251113,588744,DDFZ,44115356,N,AUTO-GEN-DF22A0TR,16,637571,DY,83,582086.24,955338.94,4066248.18,4019883.72
tx040218029790097111,20260118,6.33E+11,83,WJC,264575,20251212,154101,UIDJ,99478001,N,AUTO-GEN-22TERODE,72,702070,TW,19,796426.39,428695.49,3493841.72,3527697.56
tx576485136712606044,20250920,9.75E+11,81,CER,692118,20250602,546360,LYYE,72311197,N,AUTO-GEN-BUHXQTED,77,513212,KU,81,-911315.63,484319.87,227758.97,256438.17
tx161701924643590344,20251023,5.95E+11,62,WKB,780083,20260114,766423,NFJZ,57332373,Y,AUTO-GEN-1J0H89K1,67,725404,OL,19,-783305.15,100028.12,4683689.68,4718684.33
tx690150720535447875,20251031,7.76E+11,79,PVG,871138,20260122,360232,OHNG,89562320,Y,AUTO-GEN-657TBV97,73,937856,QO,79,-85220.36,-911165.91,748418.61,776817.73
tx889563550301493849,20260118,5.25E+11,96,IKE,162780,20260124,179949,SRBW,88298146,N,AUTO-GEN-X2XT7IY9,94,989039,BP,65,835163.29,-542606.15,1213685.53,1227357.22
tx559415141747014012,20251001,6.66E+11,39,XPM,662773,20251109,255710,PRFP,62232006,Y,AUTO-GEN-376IBVUM,91,290421,MN,53,595459.16,-838052.09,4589094.98,4604588.13
tx118484864821872630,20260112,7.73E+11,45,IDI,619908,20260219,425325,WTUH,46453329,Y,AUTO-GEN-JO8PIGGB,21,310325,YQ,34,-322509.2,-266265.81,1868805.61,1858480.62
tx044155875026139534,20250529,9.49E+11,60,LKN,237601,20250823,391467,ZIEU,82517158,N,AUTO-GEN-Z3RV9JVI,53,153498,NN,33,12633.36,698299.68,2096657.01,2051647.59
tx341530625813299360,20250329,6.28E+11,85,RKW,743812,20251215,135348,GQNB,41540929,Y,AUTO-GEN-80EVPWES,44,557249,NY,99,405899.15,328159.07,604890.61,626192.1
tx697013193095669460,20250717,4.98E+11,18,KHR,383650,20260101,756303,UQPG,50748896,Y,AUTO-GEN-U4MOYRZA,90,590553,ZF,67,-384333.62,906774.76,505077.79,491759.65
tx025103783359448436,20260122,1.77E+11,60,AMT,538302,20251110,264350,NEQH,34258891,Y,AUTO-GEN-D3ULSM77,54,302587,HH,71,-898350.04,-916201.62,4134304.01,4164818.48
tx660477305769468723,20250620,1.67E+11,31,DDV,853653,20250524,983706,YKWI,42812060,N,AUTO-GEN-TM86D6OI,40,784810,HO,41,-70906.25,571271.14,4883951.21,4836553.92
tx396600757039662398,20250609,8.13E+11,11,VGQ,627930,20250802,447545,TSHQ,91545978,Y,AUTO-GEN-8RWH3FA4,20,863113,FE,50,718010.25,203673.4,573366.53,557021.32
tx026107555583513058,20260212,7.01E+11,59,JVC,520992,20260121,317421,ULCT,71525574,N,AUTO-GEN-MMANO05I,34,247704,JO,89,949091.53,-888390.28,268349.91,297864.6
tx473990733156763441,20251114,1.53E+11,25,XTO,623318,20250722,625804,ENWO,98565594,N,AUTO-GEN-68XJJPP6,49,599455,GG,89,-355604.79,-688936.65,3656184.15,3667440.91
tx574174001099608530,20250918,3.48E+11,21,DIO,728900,20250828,636671,LGXC,29311009,N,AUTO-GEN-6O9IDMPC,26,356507,MS,47,856530.09,676623.87,3695287.23,3684443.87
tx496414266363241459,20250914,9.60E+11,75,LHT,591933,20250701,304815,HKKA,74327728,N,AUTO-GEN-D96KAKH4,16,614006,US,23,-160386.39,5863.8,2875548.84,2897013.85
tx021712694903328766,20251119,9.80E+11,33,BBE,659785,20250309,730867,KJTK,99033280,Y,AUTO-GEN-FVFMN8L4,12,932402,HH,93,955978.64,-960006.54,1548744.28,1526479
tx839215436977286193,20250606,8.63E+11,72,CJX,377964,20250919,232292,ITTL,78346647,N,AUTO-GEN-CEHH5231,51,605634,TV,16,-74642.49,-430868.69,3697871.42,3724249.31
tx446064554396319436,20260218,6.29E+11,99,SYE,268882,20250804,168857,YHHC,68624619,N,AUTO-GEN-2306VK9R,20,360367,NS,33,475334.08,336837.82,3819881.61,3863766.26
tx099121858667476473,20251127,1.49E+11,80,MIM,715116,20260303,868501,JAMB,18925044,Y,AUTO-GEN-PP8JEN2E,42,788190,CO,49,65327.24,-157985.23,265361.07,267564.8
tx102268429190862350,20260302,5.91E+11,31,LDW,971539,20250610,312716,LUWV,17422109,Y,AUTO-GEN-8RLOIW3T,19,168247,RL,68,523922.64,-279219.82,1531490.33,1507717.24
tx627573445036635738,20250531,9.84E+11,76,MTP,723950,20250920,390372,FBHJ,93975623,N,AUTO-GEN-GBC6V6NL,11,214950,YV,75,-120966.42,-999854.15,3769171.7,3788223.77
tx721134538692886639,20250621,9.33E+11,64,USZ,589422,20250417,541198,FDUT,65424405,Y,AUTO-GEN-HYLDGL8W,24,638545,FA,48,-973184.44,322863.87,1889776.19,1897544.09
tx235016598730904363,20250829,5.04E+11,57,CNE,860305,20250912,297971,NXQG,14848772,N,AUTO-GEN-WYSRQK7R,56,860779,RZ,76,672756.67,-877869.15,4980798.85,4993072.97
tx404924276682806191,20250901,1.62E+11,85,NKZ,145538,20260218,985543,NZSK,38010400,N,AUTO-GEN-E40IT0QM,83,466401,RY,45,-589231.78,296955.99,306841.96,291889.24
tx554290770718384880,20250329,2.45E+11,19,RNG,126923,20250605,606295,CRXV,64649476,Y,AUTO-GEN-9D6OOA2Q,96,579857,ZG,16,-681274.91,689515.93,2387789.66,2377932.7
tx595421658379529346,20260205,2.79E+11,40,LWO,149515,20250806,530038,GQBO,70180030,N,AUTO-GEN-GDX7GEFX,44,565769,ZD,45,363493.76,566185.11,4774523.5,4745880.24
